Table 1
Employee Name,Floor,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Total
Employee 1,1,18,15,12,17,17,14,19,16,19,147
Employee 2,1,18,19,20,22,15,14,19,22,20,169
Employee 3,1,,,,,,,11,20,15,46
Employee 4,1,20,17,20,19,24,19,20,18,28,185
Employee 5,1,19,13,15,22,15,19,13,17,15,148
Employee 6,1,15,12,13,14,10,14,17,19,18,132
Employee 7,1,17,18,20,21,19,19,20,20,17,171
Employee 8,2,,,3,3,,7,1,2,4,20
Employee 9,2,3,,,1,,2,1,,,7
Employee 10,2,,,,,2,,,,,2
Employee 11,2,20,16,18,13,16,17,11,18,18,147
Employee 12,2,8,4,10,15,16,3,3,13,6,78
Employee 13,2,4,1,,1,,3,,1,,10
Employee 14,2,,,,,,,,,,0
Employee 15,2,15,17,15,15,18,12,16,15,19,142
Employee 16,2,19,13,19,22,16,18,20,19,20,166
Employee 17,2,4,3,5,3,1,3,6,4,7,36
Employee 18,2,4,6,3,3,2,,,,3,21
Employee 19,2,,1,1,2,2,2,3,1,2,14
Employee 20,2,18,15,16,17,14,15,11,16,17,139
Employee 21,2,20,13,21,22,20,16,19,22,17,170
Employee 22,2,,,,,,,3,20,21,44
Employee 23,2,6,2,5,6,5,6,5,,5,40
Employee 24,2,,,,,,,,,,0
Employee 25,2,,,,,,,,1,1,2
Employee 26,2,,,,,,,,,,0
Employee 27,2,,,,,,19,18,20,21,78
Employee 28,2,3,,,,2,2,2,,2,11
Employee 29,2,8,7,8,8,10,7,8,5,8,69
Employee 30,2,,,,,,,5,8,10,23
Employee 31,2,21,18,20,22,19,19,17,16,18,170
Employee 32,2,,1,3,1,1,1,,2,,9
Employee 33,2,,2,,,,,,1,,3
Employee 34,2,18,17,19,13,16,16,17,19,19,154
Employee 35,2,10,7,5,10,2,8,3,7,5,57
Employee 36,2,,1,,,1,,1,,1,4
Employee 37,2,6,5,3,4,2,9,1,2,,32
Employee 38,2,,,,,,,,,,0
Employee 39,2,,3,,,,,,,1,4
Employee 40,2,4,,,1,,,,,,5
Employee 41,2,,,,,,,,16,21,37
Employee 42,2,5,,,3,,3,2,,,13
Employee 43,2,2,1,1,1,,2,,1,4,12
Employee 44,2,11,5,5,16,17,14,11,11,16,106
Employee 45,2,2,1,4,4,5,2,2,4,,24
Employee 46,2,13,6,8,11,13,13,10,9,11,94
Employee 47,2,2,1,,,,,1,,,4
Employee 48,2,,2,,,,,,2,,4
Employee 49,2,5,3,6,6,1,7,4,2,3,37
Employee 50,2,,,,3,1,1,,1,,6
Employee 51,2,,,,,,,,,1,1
Employee 52,2,2,4,1,2,,3,1,2,,15
Employee 53,2,,,2,2,3,1,1,2,,11
Employee 54,2,18,13,12,18,16,18,15,16,18,144
Employee 55,2,,,,,,,,8,20,28
Employee 56,2,6,5,9,5,8,15,9,7,10,74
Employee 57,2,12,12,17,19,11,7,2,10,9,99
Employee 58,2,19,17,21,22,18,18,17,19,22,173
Employee 59,2,21,18,19,20,13,19,20,20,19,169
Employee 60,2,3,,3,,6,,2,3,2,19
Employee 61,2,2,4,5,3,3,10,8,,,35
Employee 62,2,20,15,19,21,18,19,16,11,15,154
Employee 63,2,21,16,18,22,19,19,15,13,17,160
Employee 64,2,,,,,,,,,,0
Employee 65,2,,1,2,1,1,,1,,,6
Employee 66,2,,3,1,1,1,,,3,3,12
Employee 67,2,14,11,8,11,18,9,15,9,20,115
Employee 68,2,3,1,2,,1,1,1,1,2,12
Employee 69,2,,,,,,,,,,0
Employee 70,2,4,3,5,6,4,5,6,7,3,43
Employee 71,2,,,,,,,,,,0
Employee 72,2,14,19,18,15,12,18,16,20,20,152
Employee 73,2,,2,,,,,,,,2
Employee 74,2,3,1,3,5,5,2,2,2,3,26
Employee 75,2,2,3,3,1,2,5,,,5,21
Employee 76,2,2,2,2,4,3,8,7,3,5,36
Employee 77,2,,,,,,9,20,19,20,68
Employee 78,2,,4,1,2,5,1,1,8,5,27
Employee 79,2,,,,,,,,,,0
Employee 80,2,18,11,15,14,5,12,14,10,15,114
Employee 81,2,7,9,20,22,14,14,14,12,13,125
Employee 82,2,,,,,2,4,2,1,,9
Employee 83,2,2,,1,1,3,,2,1,,10
Employee 84,2,,,,,,,3,20,21,44
Employee 85,2,8,2,2,,1,4,1,,3,21
Employee 86,2,,1,,,,2,,,,3
Employee 87,2,,,,,,10,3,1,1,15
Employee 88,3,15,9,16,14,9,13,2,16,12,106
Employee 89,3,1,2,1,2,1,,1,,,8
Employee 90,3,16,20,21,19,21,16,18,18,16,165
Employee 91,3,5,2,1,3,2,3,6,1,5,28
Employee 92,3,6,4,2,5,9,6,6,4,2,44
Employee 93,3,10,7,4,9,4,3,9,8,5,59
Employee 94,3,5,5,8,6,3,4,2,6,2,41
Employee 95,3,,,,,,3,8,4,6,21
Employee 96,3,5,2,11,8,9,14,3,8,7,67
Employee 97,3,20,14,19,19,17,16,9,15,13,142
Employee 98,3,15,9,8,11,12,9,8,10,10,92
Employee 99,3,6,4,5,17,5,13,4,9,6,69
Employee 100,3,3,4,5,2,4,3,5,3,3,32
Employee 101,3,16,12,14,11,15,16,10,13,8,115
Employee 102,3,,,,,2,1,3,2,2,10
Employee 103,3,,,,,,9,7,6,7,29
Employee 104,3,14,8,13,12,8,6,16,12,9,98
Employee 105,3,13,8,14,18,12,16,10,8,12,111
Employee 106,3,10,6,9,16,13,10,13,15,8,100
Employee 107,3,,,,9,13,14,12,7,12,67
Employee 108,3,3,2,,1,2,2,1,,1,12
Employee 109,3,12,8,12,10,14,12,10,15,16,109
Employee 110,3,2,1,4,4,8,,4,2,6,31
Employee 111,3,,,,,,10,10,6,7,33
Employee 112,3,1,1,,,,1,,,,3
Employee 113,3,7,8,6,16,3,8,14,7,15,84
Employee 114,3,,,,,5,8,9,8,8,38
Employee 115,3,4,1,1,1,6,5,2,5,2,27
Employee 116,3,17,19,13,21,21,19,18,17,16,161
Employee 117,3,8,6,10,12,12,13,7,8,8,84
Employee 118,3,20,19,20,21,20,19,20,9,21,169
Employee 119,3,,,4,1,3,,,,1,9
Employee 120,3,,4,2,7,,3,,4,3,23
Employee 121,3,,,,,3,11,7,7,6,34
Employee 122,3,3,7,,5,5,5,6,5,5,41
Employee 123,3,,,,,,1,1,1,,3
Employee 124,3,,,,,3,,,,2,5
Employee 125,3,14,12,15,21,18,12,6,17,6,121
Employee 126,3,8,3,9,10,11,17,3,9,12,82
Employee 127,3,2,2,2,4,4,3,4,1,2,24
Employee 128,3,2,,,1,1,,1,,,5
Employee 129,3,,,,3,2,1,3,2,3,14
Employee 130,3,,,1,15,10,6,9,10,,51
Employee 131,3,,,,,4,8,12,9,10,43
Employee 132,3,4,3,4,4,9,10,5,4,7,50
Employee 133,3,2,,1,2,1,1,1,,,8
Employee 134,3,3,1,4,5,1,4,,2,2,22
Employee 135,3,19,15,16,17,19,21,13,14,20,154
Employee 136,3,,,,,,1,,,,1
Employee 137,3,,,,,,,,,6,6
Employee 138,3,1,1,2,2,4,9,8,1,3,31
Employee 139,3,3,1,4,4,4,5,4,2,3,30
Employee 140,3,7,4,9,7,8,8,10,3,7,63
Employee 141,3,2,6,8,8,6,9,5,8,6,58
Employee 142,3,,1,3,2,4,6,3,6,3,28
Employee 143,3,18,8,13,12,4,11,6,7,16,95
Employee 144,3,,,,,1,5,3,,,9
Employee 145,3,,,,,,8,6,4,5,23
Employee 146,3,12,6,11,11,16,14,9,10,13,102
Employee 147,3,18,15,19,9,6,12,4,4,4,91
Employee 148,3,2,1,,,1,,2,,,6
Employee 149,3,8,4,7,7,9,8,6,3,1,53
Employee 150,3,1,1,,,3,4,1,1,,11
Employee 151,3,12,10,8,16,13,14,14,8,13,108
Employee 152,3,9,6,4,7,5,7,6,2,7,53
Employee 153,3,,,,,,,,,1,1
Employee 154,3,,,,,,,,,13,13
Employee 155,3,,,,,5,14,11,4,,34
Employee 156,3,7,5,4,1,5,3,1,1,4,31
Employee 157,3,11,5,14,22,15,16,21,11,14,129
Employee 158,3,2,4,4,3,4,3,2,3,5,30
Employee 159,3,,,,2,2,,,3,1,8
Employee 160,3,,,,2,3,,,,2,7
Employee 161,3,,1,,1,1,4,,,,7
Employee 162,3,12,2,3,8,8,5,8,2,4,52
Employee 163,3,4,2,1,4,,1,,,,12
Employee 164,3,,,1,1,3,,1,,4,10
Employee 165,3,,,,,5,3,,2,2,12
Employee 166,3,,,,,,,3,,,3
Employee 167,3,,,,,2,,,2,,4
Employee 168,3,15,16,9,17,14,12,13,10,10,116
Employee 169,3,7,5,7,9,9,8,8,8,9,70
Employee 170,3,4,,,1,2,2,,,2,11
Employee 171,3,7,7,1,15,13,6,6,13,8,76
Employee 172,3,11,11,7,8,11,16,12,11,7,94
Employee 173,3,,,,,1,2,,2,1,6
Employee 174,3,9,7,6,9,9,9,10,6,9,74
Employee 175,4,2,,,,,,,1,,3
Employee 176,4,6,5,2,3,2,1,4,4,8,35
Employee 177,4,5,7,15,16,11,13,10,7,15,99
Employee 178,4,,4,4,3,8,2,2,5,9,37
Employee 179,4,4,7,9,11,7,5,3,3,16,65
Employee 180,4,5,5,2,3,6,5,10,5,15,56
Employee 181,4,1,1,,1,,,,,,3
Employee 182,4,,,,,,,6,14,19,39
Employee 183,4,,,,,,,,,,0
Employee 184,4,,,5,22,20,20,17,17,21,122
Employee 185,4,22,19,22,22,20,23,20,21,20,189
Employee 186,4,,2,,,,1,,,,3
Employee 187,4,1,1,,1,,1,2,3,6,15
Employee 188,4,,,,2,,,2,3,3,10
Employee 189,4,1,,,,,1,2,,,4
Employee 190,4,16,19,18,21,19,20,16,13,19,161
Employee 191,4,2,,1,3,1,3,2,1,1,14
Employee 192,4,1,1,3,5,5,6,8,6,9,44
Employee 193,4,,,2,,,2,1,1,1,7
Employee 194,4,,3,,,,2,,,,5
Employee 195,4,11,18,18,21,14,14,17,21,18,152
Employee 196,4,6,2,6,8,9,11,6,6,5,59
Employee 197,4,4,3,,1,1,1,4,,,14
Employee 198,4,,3,6,3,3,1,,,9,25
Employee 199,4,1,,1,,,,,,4,6
Employee 200,4,5,6,10,7,5,6,2,7,10,58
Employee 201,4,8,8,4,2,1,1,2,,,26
Employee 202,4,21,19,21,22,21,19,17,16,3,159
Employee 203,4,1,,2,,1,,2,2,4,12
Employee 204,4,,3,5,6,1,,,,,15
Employee 205,4,4,7,1,5,4,1,1,,3,26
Employee 206,4,5,1,2,4,3,4,7,3,9,38
Employee 207,4,19,17,17,13,17,19,17,14,21,154
Employee 208,4,17,7,,10,10,9,2,1,6,62
Employee 209,4,,2,4,4,5,5,4,8,8,40
Employee 210,4,3,1,,,,1,,,,5
Employee 211,4,17,16,18,19,17,16,10,17,16,146
Employee 212,4,7,10,16,14,12,11,6,10,13,99
Employee 213,4,2,,,1,2,,2,,5,12
Employee 214,4,,1,,2,,1,,,,4
Employee 215,4,,9,5,5,8,7,5,6,8,53
Employee 216,4,3,2,2,4,8,2,3,2,8,34
Employee 217,4,1,1,1,2,,2,1,,1,9
Employee 218,4,2,1,1,,,2,2,,,8
Employee 219,4,2,,,,,,,2,6,10
Employee 220,4,19,17,21,20,19,15,18,17,21,167
Employee 221,4,4,7,3,5,4,4,3,3,9,42
Employee 222,4,3,3,3,1,2,2,9,12,13,48
Employee 223,4,13,8,14,16,16,15,7,15,13,117
Employee 224,4,5,7,8,13,8,7,5,8,12,73
Employee 225,4,3,,,,,,,,4,7
Employee 226,4,,1,1,1,3,4,7,9,10,36
Employee 227,4,3,2,2,2,9,1,3,2,1,25
Employee 228,4,1,1,,,,,,,,2
Employee 229,4,3,3,,3,,4,2,1,3,19
Employee 230,4,25,19,21,23,16,16,21,20,21,182
Employee 231,4,,,,,,,6,14,21,41
Employee 232,4,,,,,,9,20,18,4,51
Employee 233,4,4,6,9,15,10,14,9,9,13,89
Employee 234,4,2,6,7,10,9,4,8,9,3,58
Employee 235,4,,,,,,,1,,,1
Employee 236,4,3,6,5,4,6,4,4,3,9,44
Employee 237,4,10,8,8,16,4,14,7,13,14,94
Employee 238,4,1,1,2,2,1,,1,,1,9
Employee 239,4,,,,,,,,,,0
Employee 240,4,,2,,3,3,,,4,9,21
Employee 241,4,,1,,,,,,,1,2
Employee 242,4,,,1,,,,,,,1
Employee 243,4,16,20,21,21,20,21,20,19,20,178
Employee 244,4,2,,,,1,,,1,2,6
Employee 245,4,20,10,17,14,9,9,5,2,11,97
Employee 246,4,,,,2,3,2,5,4,14,30
Employee 247,4,21,19,21,22,15,16,19,19,21,173
Employee 248,4,,,,2,,,1,,,3
Employee 249,4,6,4,5,9,10,,,,5,39
Employee 250,4,,1,,2,,,2,,1,6
Employee 251,4,,1,,,1,,2,,,4
Employee 252,4,,,,1,,1,,1,,3
Employee 253,4,8,7,8,17,19,14,12,16,16,117
Employee 254,4,,1,2,,1,1,3,2,,10
Employee 255,4,,,2,1,3,1,,,1,8
Employee 256,4,,,,,,,6,13,16,35
Employee 257,4,,2,1,2,,,,1,1,7
Employee 258,4,1,10,12,10,10,12,12,12,16,95
Employee 259,4,3,3,3,1,,1,,1,1,13
Employee 260,4,20,15,20,20,19,19,13,17,20,163
Employee 261,4,21,18,21,21,20,21,18,19,20,179
Employee 262,4,2,5,1,4,2,9,3,2,6,34
Employee 263,5,1,1,,,1,9,2,1,,15
Employee 264,5,,,,,,1,11,9,12,33
Employee 265,5,,,,1,,3,,,1,5
Employee 266,5,4,4,7,4,6,7,7,4,6,49
