Table 1
Room,Date,#Attendees,Start,Finish,Attendance Type
Room 133," January 8, 2024",10,8:00 AM,6:30 PM,internal meeting
Room 133," February 12, 2024",20,8:00 AM,5:00 PM,Customer Meeting
Room 133," March 18, 2024",37,7:00 AM,10:00 PM,Customer Meeting
Room 133," March 25, 2024",15,7:00 AM,10:00 PM,Customer Meeting
Room 133," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Room 133," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Room 133," April 1, 2024",0,12:00 AM,12:00 AM,Customer Meeting
Room 133," May 6, 2024",20,7:00 AM,10:00 PM,Customer Meeting
Room 133," May 13, 2024",15,7:00 AM,10:00 PM,Customer Meeting
Room 133," May 13, 2024",20,7:00 AM,10:00 PM,Customer Meeting
Room 133," June 4, 2024",25,7:00 AM,10:00 PM,Customer Meeting
Room 133," June 12, 2024",45,7:00 AM,10:00 PM,All Hands
Room 133," June 12, 2024",40,12:00 PM,12:15 PM,"Community Svc (CSF, FAF, GE Vols)"
Room 133," June 13, 2024",50,1:45 PM,2:45 PM,Internal Meeting
Room 133," June 19, 2024",30,7:15 AM,7:30 AM,Customer Meeting
Room 133," June 26, 2024",15,8:00 AM,2:00 PM,Customer Meeting
Room 133," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Room 133," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Room 133," July 15, 2024",200,12:00 AM,12:00 AM,Internal Meeting
Room 133," July 23, 2024",24,7:00 AM,10:00 PM,Customer Meeting
Room 133," August 6, 2024",0,12:00 PM,2:00 PM,Customer Meeting
Room 133," August 7, 2024",40,12:00 PM,1:30 PM,Customer Meeting
Room 133," August 8, 2024",0,7:00 AM,10:00 PM,"Community Svc (CSF, FAF, GE Vols)"
Room 133," August 9, 2024",100,2:00 PM,5:00 PM,Customer Meeting
Room 133," August 13, 2024",30,12:00 AM,12:00 AM,Customer Meeting
Room 133," August 20, 2024",40,7:00 AM,7:30 AM,Customer Meeting
Room 133," August 21, 2024",80,8:00 AM,5:00 PM,Customer Meeting
Room 133," August 21, 2024",80,8:00 AM,5:00 PM,Customer Meeting
Room 133," August 27, 2024",20,7:30 AM,3:45 PM,Customer Celebration
Room 133," September 3, 2024",25,8:00 AM,5:00 PM,Customer Meeting
Room 133," September 5, 2024",40,10:30 AM,1:30 PM,Employee Training
Room 133," October 7, 2024",18,7:00 AM,10:00 PM,Customer Meeting
Room 133," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 133," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 133," October 14, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 133," October 15, 2024",0,7:00 AM,10:00 PM,Customer Meeting
Room 133," October 25, 2024",20,5:30 AM,3:30 PM,Customer Training
Room 133," November 5, 2024",18,7:00 AM,5:00 PM,Customer Meeting
Room 133," November 12, 2024",0,7:00 AM,10:00 PM,Customer Meeting
Room 133," November 13, 2024",35,8:00 AM,4:00 PM,Customer Meeting
Room 133," December 3, 2024",30,7:00 AM,10:00 PM,Customer Meeting
Room 133," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 133," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 133," December 9, 2024",150,7:00 AM,10:00 PM,Customer Meeting
Room 133," January 14, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Room 133," February 10, 2025",150,7:00 AM,10:00 PM,Customer Meeting
Room 133," February 10, 2025",150,7:00 AM,10:00 PM,Customer Meeting
Room 133," February 12, 2025",12,5:30 PM,6:30 PM,Customer Meeting
Room 133," February 24, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 133," February 24, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 133," February 25, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 133," March 4, 2025",25,7:00 AM,10:00 PM,Customer Meeting
Room 133," March 13, 2025",1,7:00 AM,10:00 PM,Equipment Repair
Room 133," March 18, 2025",50,7:00 AM,10:00 PM,Customer Celebration
Room 133," March 31, 2025",15,7:00 AM,10:00 PM,Customer Meeting
Room 133," April 2, 2025",10,7:00 AM,10:00 PM,Internal Meeting
Room 133," April 7, 2025",25,10:00 AM,10:15 AM,Dry Run
Room 133," April 10, 2025",10,10:00 AM,12:15 PM,Video Conference
